Account Statement for 00000001 () since 1/21/21 through 1/21/21,,,,,,,,,,,,,
,,,,,,,,,,,,,
Cash Balance,,,,,,,,,,,,,
DATE,TIME,TYPE,DESCRIPTION,Commissions & Fees,AMOUNT,BALANCE,,,,,,,
,1/21/2021 14:10,STOCK,BUY,5,TO OPEN,FB,,,STOCK,~,MKT,DAY,FILLED
,1/21/2021 14:03,STOCK,SELL,-4,TO CLOSE,UAL,,,STOCK,~,MKT,DAY,FILLED
,1/21/2021 14:03,STOCK,SELL,-100%,TO CLOSE,UAL,,,STOCK,~,MKT,DAY,TRIGGERED
,1/21/2021 13:59,STOCK,SELL,-2,TO CLOSE,UAL,,,STOCK,~,MKT,DAY,FILLED
,1/21/2021 13:59,STOCK,SELL,-2,TO CLOSE,UAL,,,STOCK,~,MKT,DAY,FILLED
,1/21/2021 13:59,STOCK,SELL,-2,TO CLOSE,UAL,,,STOCK,~,MKT,DAY,FILLED
,1/21/2021 13:58,STOCK,BUY,10,TO OPEN,UAL,,,STOCK,~,MKT,DAY,FILLED
,1/21/2021 13:47,STOCK,SELL,-1,TO CLOSE,MARA,,,STOCK,~,MKT,DAY,FILLED
,,,,,,,,,,18,STP,STD,
,1/21/2021 13:47,STOCK,SELL,-1,TO CLOSE,MARA,,,STOCK,~,MKT,DAY,CANCELED
,,,,,,,,,,17.9,STP,STD,
,1/21/2021 13:46,STOCK,SELL,-1,TO CLOSE,MARA,,,STOCK,~,MKT,DAY,CANCELED
,,,,,,,,,,17.9,STP,STD,
,1/21/2021 13:44,STOCK,SELL,-1,TO CLOSE,MARA,,,STOCK,~,MKT,DAY,CANCELED
,,,,,,,,,,17.8,STP,STD,
,1/21/2021 13:43,STOCK,SELL,-4,TO CLOSE,AMD,,,STOCK,~,MKT,DAY,FILLED
,1/21/2021 13:43,STOCK,SELL,-100%,TO CLOSE,AMD,,,STOCK,~,MKT,DAY,TRIGGERED
,1/21/2021 13:42,STOCK,SELL,-2,TO CLOSE,AMD,,,STOCK,~,MKT,DAY,FILLED
,1/21/2021 13:42,STOCK,SELL,-2,TO CLOSE,AMD,,,STOCK,~,MKT,DAY,FILLED
,1/21/2021 13:42,STOCK,SELL,-2,TO CLOSE,AMD,,,STOCK,~,MKT,DAY,FILLED
,1/21/2021 13:41,STOCK,BUY,10,TO OPEN,AMD,,,STOCK,~,MKT,DAY,FILLED
,1/21/2021 13:38,STOCK,SELL,-1,TO CLOSE,MARA,,,STOCK,~,MKT,DAY,CANCELED
,,,,,,,,,,17.7,STP,STD,
,1/21/2021 13:37,STOCK,SELL,-1,TO CLOSE,MARA,,,STOCK,~,MKT,DAY,FILLED
,1/21/2021 13:30,STOCK,SELL,-1,TO CLOSE,MARA,,,STOCK,~,MKT,DAY,FILLED
,1/21/2021 13:26,STOCK,SELL,-1,TO CLOSE,MARA,,,STOCK,~,MKT,DAY,FILLED
